image,scientific_communication,behavior,normalization,betweenness,cluster_analysis,development,user_convenience,engineering,academic_rank,similarity_measure,cluster,discovery,scientific_productivity,globalisation,reflection,funding
kernel_method,research_activity,applicability,holiday,theoretical_model,item,overall_prestige,scientific_publication,life_cycle,morocco,research_group,knowledge_management,social_network_analysis,exposure_effect,rank_journal,information_science,science_mapping,education,error,field_science,metadata,bibliometric_index,co_authorship_network,redundancy,methodology,structured_abstract
sami,scientific_production,need,emerge_technology,library,individual_scientist,medicine,semantic_information,emergence,research_trend,medline,preservation,librarian,structure,context,innovation,user_tag,mis,individual_researcher,dynamic,retrieval,summarization
promotion,biotechnology,citation_rate,discourse,academia,documentation,exergy,scholarly_event,citation_impact,italy,site,web_science,priority,emerge_topic,application,community,brazil,centrality,vector_space_model,small_world,graduate,understanding,standard,organization,motivation,heritage,young_woman,comparison,matthew_effect,taiwan,cite_journal,research_evaluation,knowledge_network,normalisation,analgesic,blog,nurse,intelligent_agent,peer_review
think_aloud,weight,network_analysis,f_value,progressive_nucleation_mechanism,africa,everyday_life,video,blog_community,co_word,cognitive_science,research_funding,psychology,mapping,informetric,word,science,benford_law,social_tag,real_time_search,definition,transliteration_variant,information_retrieval,social,china,bibliometric_indicator,research_article,citation_window,similarity,crowdsourcing,rank_frequency_distribution,language,environmental_scanning,catalogue,individual,multiple_manuscript,pagerank,knowledge_structure,philosophy,scopus
information_provision,contextualization,knowledge_organization,scientific_output,linkage,semantic,expert_search,humanity,user_study,outgrow_index,literature_review,coauthorship,rank,connection,information_literacy
number_article,image_retrieval,social_search,develop_country,semiotic,wikipedia,scientist,canada,image_use,evaluation,excellence,latent,midwife,efficiency,e_learning,function,lis_journal,scientometric,mlir,splog,fcsi,highly_cite,power_law,research_output,ease
museum,editorial,web,impact_factor,chemistry,search,citeseer,time_series_analysis,bias,validity,advice,museum_object,industry,natural_language,subject_heading,network,fractional
european_union,mainstream,reliability,knowledge_map,south_africa,bibliometric_positioning,xml,online,information_practice,integration,cite_record,web_mining,webometric,sentiment_analysis,co_authorship,medlineplus,information_technology,academic_research,bibliometric_methodology,high_utility_itemset,open_access,knowledge_integration,journal_ranking
research_focus,evolution,patent,drug,h_core,task_complexity,robustness,woman,public_value,small_worldness,periodical,information_sharing,problem,bibliometric_analysis,coauthor,discussion,emotion,phd,chinese
shanghai,highly_cite_paper,conference,research_collaboration,ranking,scientometric_indicator,research_quality,graphene,biomedical_informatic,esi,institution,intellectual_structure,internet
star,attack
international_collaboration,prediction
synchronous,element,p_index,entropy,scientometrics
collaboration_potential,digital_library,indigenous,information_inequality,citation_graph,patent_family
visualization,reference,recommendation,gene,citation_database
simulation,random_access,terminology,finance,intranet,information_behaviour
spain,social_tagging,multidisciplinary,productivity,url_reference,regression,document_type,patent_network,public_library,success,statistic,weighting_scheme,attempt,datum_stream,patent_analysis,book
information_processing,cambodia,consistency,prestige,economic_journal,orange_book,co,search_engine,bar,machine_learning,university,research_area,uncertainty,random_removal,text_mining
ir,collaboration_network
taxonomy,patent_citation
knowledge_exchange,technology_foresight
metric,author_impact,improvement
tagging,conflict_interest
meta_analysis,energy
authorship,scientific_collaboration
computer_science,interdisciplinary,social_science
community_detection,query_expansion
text_categorization,oncology
ambiguity,characterization
categorization,dependence
thermodynamic,mental_model
knowledge_production,invention,virtual_world,scientific_effectiveness
department,entrepreneurship,authorial_voice
social_interaction,quartile_journal
popularity,usda,journal_article
multiple_authorship,automatic_classification,accuracy,innovation_system,research_performance
journal_impact_factor,citation_frequency
quantity,durability
collaborative_filtering,ontology,g_index
interdisciplinarity,information_source
concept,benchmark
assessment,library_information_science
information_seek,crown_indicator
knowledge_flow,research_policy
cerif,classifier
difficulty,research_assessment
